PRPlots,Nursery,Pedigree,Source,Family,Level,SHGD_Donor,Haploids,Pollination,DH,Rate
210,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_07,2022MOB_PR:210,LH82*PHG35,DH,97,26,7,2,7.69
211,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_04,2022MOB_PR:211,LH82*PHG35,DH,243,24,7,1,4.17
212,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_16,2022MOB_PR:212,LH82*PHG35,DH,243,29,11,3,10.34
217,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-243cyc2_DH_08,2022MOB_PR:217,LH82*PHG35,DH,243,19,0,0,0.00
218,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_08,2022MOB_PR:218,LH82*PHG35,DH,97,12,4,2,16.67
219,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_07,2022MOB_PR:219,LH82*PHG35,DH,243,10,4,1,10.00
220,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_19,2022MOB_PR:220,LH82*PHG35,DH,243,20,3,0,0.00
226,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_09,2022MOB_PR:226,LH82*PHG35,DH,97,15,1,0,0.00
228,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_20,2022MOB_PR:228,LH82*PHG35,DH,243,13,4,2,15.38
233,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_23,2022MOB_PR:233,LH82*PHG35,DH,243,31,1,0,0.00
234,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_08,2022MOB_PR:234,LH82*PHG35,DH,97,17,9,1,5.88
235,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_16,2022MOB_PR:235,LH82*PHG35,DH,97,7,0,0,0.00
241,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_01,2022MOB_PR:241,LH82*PHG35,DH,97,29,0,0,0.00
242,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_09,2022MOB_PR:242,LH82*PHG35,DH,97,22,4,0,0.00
243,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_17,2022MOB_PR:243,LH82*PHG35,DH,97,13,2,0,0.00
244,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_11,2022MOB_PR:244,LH82*PHG35,DH,243,13,4,1,7.69
249,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_02,2022MOB_PR:249,LH82*PHG35,DH,97,50,7,4,8.00
250,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_10,2022MOB_PR:250,LH82*PHG35,DH,97,24,3,2,8.33
251,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_04,2022MOB_PR:251,LH82*PHG35,DH,243,8,2,0,0.00
252,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_13,2022MOB_PR:252,LH82*PHG35,DH,243,13,2,2,15.38
257,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_03,2022MOB_PR:257,LH82*PHG35,DH,97,36,0,0,0.00
258,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_11,2022MOB_PR:258,LH82*PHG35,DH,97,22,4,3,13.64
259,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_06,2022MOB_PR:259,LH82*PHG35,DH,243,24,3,1,4.17
260,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_15,2022MOB_PR:260,LH82*PHG35,DH,243,14,2,0,0.00
265,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_06,2022MOB_PR:265,LH82*PHG35,DH,97,29,2,1,3.45
266,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_14,2022MOB_PR:266,LH82*PHG35,DH,97,23,0,0,0.00
267,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_07,2022MOB_PR:267,LH82*PHG35,DH,243,26,4,1,3.85
268,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_16,2022MOB_PR:268,LH82*PHG35,DH,243,16,3,1,6.25
273,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_07,2022MOB_PR:273,LH82*PHG35,DH,97,26,3,0,0.00
274,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-097cyc2_DH_15,2022MOB_PR:274,LH82*PHG35,DH,97,27,1,0,0.00
275,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_08,2022MOB_PR:275,LH82*PHG35,DH,243,10,1,1,10.00
276,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X BS39-243cyc2_DH_19,2022MOB_PR:276,LH82*PHG35,DH,243,12,0,0,0.00
675,CONV_NUR2023,LH82*PHG47-B-B-18-1-1-B-B X BS39-243cyc2_DH_11,2022MOB_PR:675,LH82*PHG47,DH,243,7,3,1,14.29
89,CONV_NUR2023,B73*PH207-B-B-12-1-1-B-B X SHGD_DH_097,2022MOB_PR:89,B73*PH207,DH,97,23,6,3,13.04
90,CONV_NUR2023,B73*PHG39-B-B-8-1-1-B-B X SHGD_DH_097,2022MOB_PR:90,B73*PHG39,DH,97,13,1,0,0.00
91,CONV_NUR2023,LH82*PHG35-B-B-32-1-1-B-B X SHGD_DH_243,2022MOB_PR:91,LH82*PHG35,DH,243,10,5,4,40.00
92,CONV_NUR2023,LH82*PHG47-B-B-7-1-1-B-B X SHGD_DH_243,2022MOB_PR:92,LH82*PHG47,DH,243,40,10,4,10.00
97,CONV_NUR2023,B73*PH207-B-B-12-1-1-B-B X SHGD_DH_243,2022MOB_PR:97,B73*PH207,DH,243,28,9,4,14.29
98,CONV_NUR2023,B73*PHG39-B-B-8-1-1-B-B X SHGD_DH_243,2022MOB_PR:98,B73*PHG39,DH,243,20,7,2,10.00
99,CONV_NUR2023,LH82*PHG47-B-B-12-1-1-B-B X SHGD_DH_097,2022MOB_PR:99,LH82*PHG47,DH,97,18,3,2,11.11
